direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
LONG,2023-02-13,45.06,2023-02-13,45.19,2164.23,281.35,0.29,eod
LONG,2023-03-02,44.11,2023-03-02,44.4,2216.9,631.82,0.65,eod
LONG,2023-03-03,44.55,2023-03-03,44.85,2208.23,651.43,0.66,eod
LONG,2023-03-06,44.9,2023-03-06,44.73,2205.3,-374.9,-0.38,eod
LONG,2023-03-08,44.78,2023-03-08,44.84,2203.01,132.18,0.13,eod
LONG,2023-03-09,44.59,2023-03-09,43.91,2215.21,-1506.34,-1.53,eod
SHORT,2023-03-10,43.74,2023-03-10,43.49,2225.54,556.39,0.57,eod
LONG,2023-03-14,43.86,2023-03-14,43.96,2231.5,223.15,0.23,eod
LONG,2023-03-16,43.21,2023-03-16,43.77,2269.98,1271.19,1.3,eod
LONG,2023-03-23,45.61,2023-03-23,45.44,2176.83,-378.33,-0.38,eod
SHORT,2023-03-24,45.32,2023-03-24,45.49,2183.01,-371.11,-0.38,eod
SHORT,2023-04-13,45.01,2023-04-13,45.22,2190.21,-459.94,-0.47,eod
LONG,2023-04-14,45.37,2023-04-14,45.13,2163.2,-519.17,-0.53,eod
LONG,2023-04-20,44.49,2023-04-20,44.37,2194.9,-263.39,-0.27,eod
LONG,2023-04-27,43.31,2023-04-27,43.65,2248.67,753.3,0.77,eod
LONG,2023-04-28,43.76,2023-04-28,43.9,2242.15,313.9,0.32,eod
SHORT,2023-05-02,43.65,2023-05-02,43.51,2254.89,304.41,0.31,eod
LONG,2023-05-03,43.82,2023-05-03,43.61,2252.49,-473.02,-0.48,eod
LONG,2023-05-15,43.57,2023-05-15,43.83,2255.1,586.33,0.6,eod
SHORT,2023-05-31,46.17,2023-05-31,46.2,2139.94,-53.5,-0.05,eod
LONG,2023-06-01,46.21,2023-06-01,46.62,2137.22,876.26,0.89,eod
LONG,2023-06-08,47.09,2023-06-08,47.37,2114.73,581.55,0.58,eod
LONG,2023-06-09,47.69,2023-06-09,47.59,2099.93,-209.99,-0.21,eod
LONG,2023-06-14,48.6,2023-06-14,48.65,2056.51,102.83,0.1,eod
LONG,2023-06-15,48.89,2023-06-15,49.05,2046.31,327.41,0.33,eod
SHORT,2023-06-16,48.58,2023-06-16,48.46,2065.98,237.59,0.24,eod
LONG,2023-06-22,47.79,2023-06-22,47.8,2104.64,31.57,0.03,eod
SHORT,2023-07-05,47.17,2023-07-05,47.07,2132.94,213.29,0.21,eod
LONG,2023-07-07,46.25,2023-07-07,46.24,2179.75,-10.9,-0.01,eod
LONG,2023-07-13,48.49,2023-07-13,48.74,2078.63,509.26,0.51,eod
SHORT,2023-07-14,48.99,2023-07-14,48.72,2067.5,558.22,0.55,eod
LONG,2023-07-20,47.98,2023-07-20,47.58,2121.85,-859.35,-0.84,eod
SHORT,2023-07-27,48.53,2023-07-27,48.03,2081.2,1040.6,1.03,eod
LONG,2023-07-28,48.68,2023-07-28,48.78,2095.1,209.51,0.21,eod
SHORT,2023-08-04,46.64,2023-08-04,46.74,2191.0,-219.1,-0.21,eod
LONG,2023-08-10,46.73,2023-08-10,46.16,2182.56,-1233.15,-1.21,eod
SHORT,2023-08-11,45.85,2023-08-11,45.79,2198.66,131.92,0.13,eod
LONG,2023-08-14,45.22,2023-08-14,45.55,2232.19,742.2,0.74,eod
SHORT,2023-08-15,45.24,2023-08-15,45.13,2246.6,250.05,0.25,eod
SHORT,2023-08-17,45.42,2023-08-17,45.19,2242.74,527.04,0.52,eod
LONG,2023-08-21,45.27,2023-08-21,45.41,2261.48,305.3,0.3,eod
LONG,2023-08-23,45.73,2023-08-23,45.85,2245.08,269.41,0.26,eod
SHORT,2023-08-24,46.12,2023-08-24,45.75,2231.64,825.71,0.8,eod
LONG,2023-08-25,45.5,2023-08-25,45.5,2279.39,4.56,0.0,eod
SHORT,2023-08-28,45.73,2023-08-28,45.82,2267.92,-204.11,-0.2,eod
LONG,2023-08-30,46.28,2023-08-30,46.2,2236.78,-178.94,-0.17,eod
LONG,2023-08-31,45.8,2023-08-31,45.59,2256.51,-473.87,-0.46,eod
LONG,2023-09-06,45.9,2023-09-06,45.54,2241.79,-807.04,-0.78,eod
SHORT,2023-09-07,45.03,2023-09-07,45.13,2268.07,-226.81,-0.22,eod
LONG,2023-09-12,45.4,2023-09-12,45.42,2244.84,44.9,0.04,eod
LONG,2023-09-28,44.45,2023-09-28,44.77,2293.78,734.01,0.72,eod
SHORT,2023-09-29,45.01,2023-09-29,44.58,2280.73,992.12,0.97,eod
SHORT,2023-10-02,44.68,2023-10-02,44.6,2318.67,185.49,0.18,eod
SHORT,2023-10-04,44.19,2023-10-04,44.23,2348.37,-93.93,-0.09,eod
LONG,2023-10-09,45.09,2023-10-09,45.43,2299.77,793.42,0.77,eod
LONG,2023-10-10,45.47,2023-10-10,45.81,2296.88,780.94,0.75,eod
SHORT,2023-10-11,45.88,2023-10-11,45.87,2292.27,34.38,0.03,eod
LONG,2023-10-13,45.81,2023-10-13,45.52,2296.74,-677.54,-0.64,eod
LONG,2023-10-20,44.52,2023-10-20,44.21,2348.83,-728.14,-0.7,eod
LONG,2023-10-24,44.37,2023-10-24,44.45,2341.18,199.0,0.19,eod
LONG,2023-10-26,43.5,2023-10-26,43.48,2392.35,-47.85,-0.05,eod
SHORT,2023-10-27,43.65,2023-10-27,43.45,2383.09,464.7,0.45,eod
LONG,2023-10-30,43.89,2023-10-30,43.82,2380.11,-166.61,-0.16,eod
SHORT,2023-11-06,45.78,2023-11-06,45.81,2278.4,-68.35,-0.07,eod
LONG,2023-11-14,46.96,2023-11-14,47.19,2219.76,510.55,0.49,eod
SHORT,2023-11-15,47.41,2023-11-15,47.37,2208.92,88.36,0.08,eod
LONG,2023-11-24,48.12,2023-11-24,48.13,2178.08,21.78,0.02,eod
SHORT,2023-12-04,48.41,2023-12-04,48.27,2165.46,303.16,0.29,eod
SHORT,2023-12-07,48.26,2023-12-07,48.65,2178.38,-860.46,-0.82,eod
LONG,2023-12-08,48.37,2023-12-08,48.54,2156.3,366.57,0.35,eod
LONG,2023-12-11,48.62,2023-12-11,48.85,2152.38,495.05,0.47,eod
LONG,2023-12-14,50.11,2023-12-14,50.18,2097.76,146.84,0.14,eod
SHORT,2023-12-15,49.66,2023-12-15,49.5,2119.58,339.13,0.32,eod
LONG,2023-12-21,44.17,2023-12-21,44.3,2390.05,298.76,0.28,eod
LONG,2023-12-22,44.55,2023-12-22,44.47,2376.3,-190.1,-0.18,eod
