direction,entry_date,entry_price,exit_date,exit_price,shares,pnl,return_pct,exit_reason
SHORT,2026-02-17,684.17,2026-02-18,685.0,41.35,-34.11,-0.12,trailing_stop
SHORT,2026-02-18,687.84,2026-02-20,686.93,39.96,36.52,0.13,trailing_stop
SHORT,2026-02-20,686.05,2026-02-20,685.92,30.3,3.94,0.02,signal_flip
LONG,2026-02-20,686.01,2026-02-20,687.1,50.07,54.5,0.16,signal_flip
SHORT,2026-02-20,689.11,2026-02-23,683.74,62.73,336.84,0.78,trailing_stop
SHORT,2026-02-24,686.04,2026-02-24,687.53,27.01,-40.11,-0.22,signal_flip
SHORT,2026-02-25,690.6,2026-02-25,690.41,29.63,5.63,0.03,signal_flip
LONG,2026-02-25,690.41,2026-02-25,692.22,30.71,55.58,0.26,signal_flip
SHORT,2026-02-26,686.41,2026-02-26,685.33,38.05,41.09,0.16,signal_flip
SHORT,2026-02-26,689.15,2026-02-27,684.71,72.29,320.98,0.64,trailing_stop
SHORT,2026-02-27,686.19,2026-02-27,685.59,60.21,36.13,0.09,trailing_stop
